"ACCOUNT_GUID","TRANSACTION_AMOUNT","POST_DATE"
"e4ca53de-cf66-11ee-95fa-e00af6801390","7829.71","2022-12-30"
"e4caa212-cf66-11ee-8969-e00af6801390","1294.82","2023-03-11"
"e4ca7b22-cf66-11ee-9692-e00af6801390","5013.37","2022-08-13"
"e4c8f43f-cf66-11ee-b66a-e00af6801390","2127.27","2023-08-24"
"e4c8f002-cf66-11ee-959c-e00af6801390","-6824.12","2022-09-06"
"e4cac92f-cf66-11ee-b56f-e00af6801390","-3782.60","2023-06-23"
"e4c9b7a9-cf66-11ee-834f-e00af6801390","-2143.54","2022-06-25"
"e4ca7b04-cf66-11ee-98d2-e00af6801390","-2300.55","2022-02-28"
"e4c8f001-cf66-11ee-9b8d-e00af6801390","5422.74","2023-05-24"
"e4c990a6-cf66-11ee-ad7d-e00af6801390","5525.7","2022-11-05"
"e4c990a9-cf66-11ee-b6c8-e00af6801390","3848.62","2022-11-26"
"e4c91b85-cf66-11ee-90b2-e00af6801390","-5865.9","2023-11-04"
"e4c8f46b-cf66-11ee-8e9f-e00af6801390","-1297.20","2023-01-31"
"e4c990c0-cf66-11ee-892b-e00af6801390","2949.90","2023-01-08"
"e4c96986-cf66-11ee-b46d-e00af6801390","-5417.73","2023-10-27"
"e4c94284-cf66-11ee-9bc9-e00af6801390","-1520.18","2023-11-15"
"e4c990c7-cf66-11ee-b447-e00af6801390","-9326.18","2023-09-02"
"e4caa203-cf66-11ee-a94e-e00af6801390","-692.79","2022-04-10"
"e4ca5418-cf66-11ee-ad92-e00af6801390","-2069.5","2022-06-29"
"e4c8c6c2-cf66-11ee-890c-e00af6801390","-7995.49","2023-12-08"
"e4ca05ca-cf66-11ee-bfaa-e00af6801390","-3560.76","2023-09-14"
"e4c8f44a-cf66-11ee-8fb8-e00af6801390","-1063.95","2023-01-21"
"e4c91b59-cf66-11ee-9206-e00af6801390","-2901.3","2022-04-27"
"e4ca53f1-cf66-11ee-a49c-e00af6801390","8009.69","2023-06-05"
"e4c9b7a8-cf66-11ee-a1f9-e00af6801390","-8798.65","2023-09-23"
"e4c9deaa-cf66-11ee-886b-e00af6801390","-765.63","2022-02-23"
"e4c8c6c1-cf66-11ee-a840-e00af6801390","-8071.44","2022-08-24"
"e4c8f456-cf66-11ee-a761-e00af6801390","-5369.17","2022-08-14"
"e4cac92e-cf66-11ee-bc8d-e00af6801390","-4516.43","2023-05-01"
"e4ca2cf1-cf66-11ee-8bbb-e00af6801390","5187.39","2022-04-25"
"e4ca53f7-cf66-11ee-84a5-e00af6801390","4916.92","2023-10-02"
"e4cac912-cf66-11ee-b12b-e00af6801390","2678.38","2023-07-08"
"e4c94294-cf66-11ee-b362-e00af6801390","-4835.17","2023-06-14"
"e4caf041-cf66-11ee-a7c6-e00af6801390","204.9","2022-11-26"
"e4c9b7d8-cf66-11ee-ac71-e00af6801390","8693.86","2022-06-11"
"e4c9deaa-cf66-11ee-886b-e00af6801390","-809.26","2022-09-10"
"e4c990cf-cf66-11ee-b8ed-e00af6801390","8824.91","2022-04-12"
"e4caa235-cf66-11ee-a7c4-e00af6801390","3233.5","2023-03-25"
"e4cac94c-cf66-11ee-8669-e00af6801390","-5688.39","2022-12-20"
"e4c9dee6-cf66-11ee-81fe-e00af6801390","2723.74","2023-04-18"
"e4c969b4-cf66-11ee-9b75-e00af6801390","-2751.6","2022-10-18"
"e4c9909a-cf66-11ee-9328-e00af6801390","2724.45","2024-02-14"
"e4c8f479-cf66-11ee-9057-e00af6801390","-8485.86","2022-11-02"
"e4caf039-cf66-11ee-9081-e00af6801390","-5459.57","2024-01-23"
"e4c9699a-cf66-11ee-b8b6-e00af6801390","-2214.83","2023-12-12"
"e4c969bc-cf66-11ee-a907-e00af6801390","-1685.52","2022-12-29"
"e4c91b68-cf66-11ee-9e4b-e00af6801390","7669.2","2023-12-01"
"e4c8f45e-cf66-11ee-92cc-e00af6801390","-8801.37","2023-03-20"
"e4caf01e-cf66-11ee-a219-e00af6801390","-3785.57","2022-06-16"
"e4ca2cdd-cf66-11ee-b7a3-e00af6801390","-8824.81","2023-09-26"
"e4c8f44c-cf66-11ee-bb23-e00af6801390","6699.2","2023-09-06"
"e4caf043-cf66-11ee-b47b-e00af6801390","3131.49","2022-08-03"
"e4cac92f-cf66-11ee-b56f-e00af6801390","-4293.1","2022-10-12"
"e4caa21a-cf66-11ee-a76b-e00af6801390","5739.11","2022-09-10"
"e4c99099-cf66-11ee-a622-e00af6801390","4286.10","2022-09-16"
"e4c9699c-cf66-11ee-b0ea-e00af6801390","-3327.71","2022-10-29"
"e4caf014-cf66-11ee-bf57-e00af6801390","-9007.80","2022-03-16"
"e4c9b7c6-cf66-11ee-b0f3-e00af6801390","3378.48","2023-06-28"
"e4ca540e-cf66-11ee-bf57-e00af6801390","7571.67","2023-02-11"
"e4c9b7d8-cf66-11ee-ac71-e00af6801390","-3961.89","2023-02-21"
"e4ca05cf-cf66-11ee-b26a-e00af6801390","-8532.70","2023-09-18"
"e4ca7b19-cf66-11ee-900e-e00af6801390","-5911.24","2024-02-15"
"e4ca2cf5-cf66-11ee-95ea-e00af6801390","-5924.45","2024-02-12"
"e4ca2cd4-cf66-11ee-bab0-e00af6801390","-673.60","2023-05-29"
"e4c9b7d4-cf66-11ee-801b-e00af6801390","1016.40","2023-09-01"
"e4c96978-cf66-11ee-98d5-e00af6801390","-4520.70","2023-01-12"
"e4ca2cd3-cf66-11ee-9b8e-e00af6801390","7783.92","2023-12-02"
"e4c94285-cf66-11ee-98c3-e00af6801390","9784.92","2023-09-18"
"e4c9428d-cf66-11ee-a8f4-e00af6801390","5251.87","2023-04-15"
"e4c9b7cb-cf66-11ee-86b5-e00af6801390","-2726.66","2023-04-19"
"e4ca53d8-cf66-11ee-9d89-e00af6801390","-7077.30","2023-10-05"
"e4c8f445-cf66-11ee-b82f-e00af6801390","7512.87","2022-03-28"
"e4c91b81-cf66-11ee-90ff-e00af6801390","1160.67","2022-06-14"
"e4c9909d-cf66-11ee-8adb-e00af6801390","-8658.47","2022-07-09"
"e4ca05f8-cf66-11ee-8f4a-e00af6801390","-560.76","2023-01-04"
"e4c8f43c-cf66-11ee-9160-e00af6801390","-7376.61","2022-09-01"
"e4c91b73-cf66-11ee-948d-e00af6801390","3766.58","2022-11-02"
"e4ca2d0b-cf66-11ee-a58d-e00af6801390","479.91","2022-04-03"
"e4ca2ce6-cf66-11ee-930c-e00af6801390","-8530.65","2022-08-08"
"e4c8f47b-cf66-11ee-9fcb-e00af6801390","8767.5","2022-06-02"
"e4ca05c0-cf66-11ee-9a04-e00af6801390","6790.89","2023-03-06"
"e4c990d4-cf66-11ee-b358-e00af6801390","-911.88","2023-10-23"
"e4cac94a-cf66-11ee-a020-e00af6801390","4712.74","2022-03-18"
"e4ca7aec-cf66-11ee-b717-e00af6801390","7156.8","2023-01-13"
"e4cac939-cf66-11ee-ae9f-e00af6801390","-8839.90","2022-09-06"
"e4c969b7-cf66-11ee-a635-e00af6801390","-3436.45","2023-07-16"
"e4cac933-cf66-11ee-9dce-e00af6801390","9855.77","2023-08-27"
"e4ca2cee-cf66-11ee-9a36-e00af6801390","-2522.39","2023-05-11"
"e4c91b5e-cf66-11ee-a61f-e00af6801390","-5602.9","2022-12-01"
"e4c8f480-cf66-11ee-b25f-e00af6801390","4934.70","2023-12-25"
"e4c9b7aa-cf66-11ee-9b10-e00af6801390","6126.96","2022-03-07"
"e4c8f447-cf66-11ee-baa5-e00af6801390","1154.15","2022-07-08"
"e4c8f008-cf66-11ee-98ff-e00af6801390","-8498.49","2022-03-03"
"e4c8f445-cf66-11ee-b82f-e00af6801390","-9908.52","2023-04-03"
"e4c9b7c8-cf66-11ee-8bb7-e00af6801390","-2885.34","2024-02-10"
"e4c96992-cf66-11ee-ba8f-e00af6801390","-1842.45","2023-04-29"
"e4ca53e8-cf66-11ee-a323-e00af6801390","-3304.78","2022-12-11"
"e4caa201-cf66-11ee-bd77-e00af6801390","645.77","2024-02-09"
"e4c990c2-cf66-11ee-9e80-e00af6801390","9522.4","2023-09-09"
"e4c9b7cd-cf66-11ee-9acf-e00af6801390","6615.97","2022-04-02"
"e4c9b7d7-cf66-11ee-9d95-e00af6801390","7459.20","2023-09-26"
"e4c91b81-cf66-11ee-90ff-e00af6801390","-6952.22","2024-01-01"
"e4c91b8c-cf66-11ee-b4c2-e00af6801390","-5888.68","2023-03-05"
"e4ca05de-cf66-11ee-8b2a-e00af6801390","5922.98","2023-02-15"
"e4ca2cc8-cf66-11ee-813d-e00af6801390","-5450.58","2023-08-30"
"e4c91b7c-cf66-11ee-aa54-e00af6801390","-5130.59","2022-08-04"
"e4c990c5-cf66-11ee-974d-e00af6801390","-8265.15","2022-11-26"
"e4c8f450-cf66-11ee-beb5-e00af6801390","5224.26","2023-04-29"
"e4c9699f-cf66-11ee-955a-e00af6801390","1200.98","2022-05-01"
"e4c9909e-cf66-11ee-ae57-e00af6801390","-4633.82","2023-09-08"
"e4c91b76-cf66-11ee-962f-e00af6801390","-1081.36","2022-10-03"
"e4cac91e-cf66-11ee-851f-e00af6801390","1017.87","2023-12-23"
"e4c990a0-cf66-11ee-9f41-e00af6801390","5984.88","2023-09-10"
"e4c969b1-cf66-11ee-afb2-e00af6801390","-4891.0","2024-02-11"
"e4c8f45a-cf66-11ee-be9d-e00af6801390","-5380.19","2023-03-23"
"e4ca53e0-cf66-11ee-b8bb-e00af6801390","-6907.59","2023-11-01"
"e4c94274-cf66-11ee-bb86-e00af6801390","-8466.99","2023-06-02"
"e4ca541b-cf66-11ee-a77b-e00af6801390","5448.6","2022-12-10"
"e4c990b6-cf66-11ee-be26-e00af6801390","-1343.41","2023-12-15"
"e4caa206-cf66-11ee-ab92-e00af6801390","5796.21","2022-09-05"
"e4c94275-cf66-11ee-896d-e00af6801390","6878.51","2023-06-06"
"e4c9b7cf-cf66-11ee-8e01-e00af6801390","8186.8","2022-03-14"
"e4caa235-cf66-11ee-a7c4-e00af6801390","4302.49","2023-01-27"
"e4caa233-cf66-11ee-ac58-e00af6801390","-3276.7","2024-01-04"
"e4ca2d0c-cf66-11ee-b570-e00af6801390","-4017.77","2022-08-15"
"e4c9b79c-cf66-11ee-b788-e00af6801390","-8688.77","2022-10-21"
"e4c990c4-cf66-11ee-9761-e00af6801390","-6007.75","2024-02-08"
"e4c8f45c-cf66-11ee-b96a-e00af6801390","-5524.67","2022-05-18"
"e4ca05de-cf66-11ee-8b2a-e00af6801390","4780.73","2022-04-24"
"e4c8f443-cf66-11ee-8691-e00af6801390","-7114.20","2023-03-21"
"e4ca05c6-cf66-11ee-9e88-e00af6801390","3365.19","2022-09-30"
"e4ca53e8-cf66-11ee-a323-e00af6801390","6910.86","2022-05-20"
"e4ca53e5-cf66-11ee-9d25-e00af6801390","8156.77","2023-08-16"
"e4ca5416-cf66-11ee-9bf3-e00af6801390","2410.35","2023-11-14"
"e4cac927-cf66-11ee-bf17-e00af6801390","-4842.65","2022-05-28"
"e4cac92d-cf66-11ee-b8b7-e00af6801390","6797.47","2023-06-20"
"e4caa1f6-cf66-11ee-812a-e00af6801390","-1749.55","2022-10-09"
"e4c8f46e-cf66-11ee-ab92-e00af6801390","1292.81","2022-05-04"
"e4c8f44b-cf66-11ee-a52a-e00af6801390","-7350.68","2022-11-16"
"e4ca7b24-cf66-11ee-8103-e00af6801390","-7559.88","2022-04-06"
"e4ca7b0f-cf66-11ee-8554-e00af6801390","9869.46","2022-09-13"
"e4cac91d-cf66-11ee-85cf-e00af6801390","-5329.83","2022-09-15"
"e4c969b1-cf66-11ee-afb2-e00af6801390","-5796.0","2022-06-02"
"e4caf028-cf66-11ee-963e-e00af6801390","-8622.20","2022-11-28"
"e4c91b73-cf66-11ee-948d-e00af6801390","-4150.45","2022-12-24"
"e4caa1fa-cf66-11ee-9515-e00af6801390","-6361.47","2022-09-30"
"e4c91b82-cf66-11ee-989a-e00af6801390","-5517.42","2023-06-18"
"e4c990bc-cf66-11ee-81df-e00af6801390","-6225.4","2022-07-07"
"e4caa217-cf66-11ee-b550-e00af6801390","2888.33","2023-12-11"
"e4c8f479-cf66-11ee-9057-e00af6801390","-8164.23","2023-09-18"
"e4c990b8-cf66-11ee-897c-e00af6801390","-8489.55","2023-11-29"
"e4ca2cec-cf66-11ee-ad33-e00af6801390","9615.88","2023-03-20"
"e4c9deb3-cf66-11ee-a3ea-e00af6801390","-7284.0","2022-10-27"
"e4c990b8-cf66-11ee-897c-e00af6801390","-8850.37","2023-08-24"
"e4caa202-cf66-11ee-bca9-e00af6801390","-8109.59","2022-10-06"
"e4c9b7ad-cf66-11ee-b1c1-e00af6801390","-7577.98","2022-05-03"
"e4ca7b1a-cf66-11ee-ab01-e00af6801390","-3567.30","2022-05-04"
"e4ca2cd4-cf66-11ee-bab0-e00af6801390","-2191.74","2023-01-01"
"e4cac924-cf66-11ee-8fc4-e00af6801390","7269.44","2023-07-09"
"e4c8f478-cf66-11ee-9227-e00af6801390","-4621.60","2023-02-05"
"e4c91b7f-cf66-11ee-9c89-e00af6801390","788.98","2023-06-05"
"e4c9b7a5-cf66-11ee-ae8c-e00af6801390","-3282.50","2022-03-06"
"e4c990d3-cf66-11ee-b276-e00af6801390","-7414.35","2024-02-04"
"e4c9deb3-cf66-11ee-a3ea-e00af6801390","6111.84","2022-10-25"
"e4c8f481-cf66-11ee-ace2-e00af6801390","3526.64","2023-06-09"
"e4c9dea9-cf66-11ee-ac37-e00af6801390","-5250.49","2022-03-10"
"e4caf026-cf66-11ee-97f5-e00af6801390","3613.86","2024-01-01"
"e4caf03a-cf66-11ee-9f74-e00af6801390","7663.10","2022-07-18"
"e4c9b7d5-cf66-11ee-a460-e00af6801390","-4723.22","2022-04-15"
"e4caa233-cf66-11ee-ac58-e00af6801390","-5005.82","2023-11-20"
"e4cac930-cf66-11ee-b2cc-e00af6801390","-130.14","2022-10-06"
"e4c91b64-cf66-11ee-95d2-e00af6801390","8789.71","2023-06-13"
"e4c969b6-cf66-11ee-a5df-e00af6801390","-8237.33","2023-02-20"
"e4ca7b0b-cf66-11ee-820b-e00af6801390","1557.59","2023-11-23"
"e4c9ded0-cf66-11ee-bd11-e00af6801390","2093.48","2023-11-12"
"e4ca2cf6-cf66-11ee-b205-e00af6801390","-7774.8","2022-07-15"
"e4ca53ef-cf66-11ee-9d82-e00af6801390","-3092.49","2023-10-30"
"e4c9b7e2-cf66-11ee-ae72-e00af6801390","-3488.20","2022-05-28"
"e4cac922-cf66-11ee-866c-e00af6801390","7332.39","2023-10-17"
"e4c9deb0-cf66-11ee-866c-e00af6801390","-6659.18","2022-03-28"
"e4ca05bb-cf66-11ee-b4dc-e00af6801390","-6457.46","2024-02-08"
"e4c9dee5-cf66-11ee-bd17-e00af6801390","-2002.52","2023-01-18"
"e4c9dee8-cf66-11ee-ba43-e00af6801390","-1086.91","2023-12-30"
"e4ca05f6-cf66-11ee-b70f-e00af6801390","-6301.92","2022-11-15"
"e4c91b69-cf66-11ee-9deb-e00af6801390","-9922.68","2023-07-16"
"e4c94283-cf66-11ee-9fa6-e00af6801390","-2062.68","2023-11-10"
"e4c8f481-cf66-11ee-ace2-e00af6801390","3908.0","2023-04-18"
"e4caf043-cf66-11ee-b47b-e00af6801390","9959.83","2023-06-05"
"e4ca53fc-cf66-11ee-8df4-e00af6801390","-1015.8","2023-03-05"
"e4c91b8b-cf66-11ee-902a-e00af6801390","9443.4","2023-10-23"
"e4c9dea5-cf66-11ee-baa6-e00af6801390","5374.99","2023-04-30"
"e4cac90d-cf66-11ee-a064-e00af6801390","-631.10","2023-06-19"
"e4c8c6bf-cf66-11ee-ad24-e00af6801390","500.52","2024-02-09"
"e4ca05ea-cf66-11ee-80c9-e00af6801390","-207.40","2024-01-14"
"e4c8f480-cf66-11ee-b25f-e00af6801390","-4868.19","2022-09-10"
"e4ca541e-cf66-11ee-b3a1-e00af6801390","9462.25","2023-05-14"
"e4c9b7d2-cf66-11ee-8fb9-e00af6801390","-5704.39","2024-01-21"
"e4c969ac-cf66-11ee-8bfc-e00af6801390","7131.50","2022-10-09"
"e4ca53f2-cf66-11ee-9236-e00af6801390","5295.83","2022-11-09"
"e4c9dec1-cf66-11ee-9e5b-e00af6801390","257.64","2022-09-02"
"e4ca7b1f-cf66-11ee-b20c-e00af6801390","8847.77","2023-05-26"
"e4c96984-cf66-11ee-9730-e00af6801390","-3399.26","2022-09-06"
"e4caf042-cf66-11ee-9391-e00af6801390","4182.93","2023-01-18"
"e4caf032-cf66-11ee-9aad-e00af6801390","-2040.40","2022-06-05"
"e4caf01d-cf66-11ee-9e65-e00af6801390","-5723.95","2023-03-31"
"e4ca5401-cf66-11ee-9bb9-e00af6801390","-9635.81","2023-02-24"
"e4ca7afe-cf66-11ee-ad70-e00af6801390","-5013.35","2024-01-19"
"e4c91b6f-cf66-11ee-8481-e00af6801390","9379.25","2022-08-21"
"e4ca540b-cf66-11ee-821e-e00af6801390","-7133.10","2023-10-31"
"e4ca05f5-cf66-11ee-8da3-e00af6801390","-1084.51","2024-01-27"
"e4ca7af3-cf66-11ee-8749-e00af6801390","9386.44","2022-05-07"
"e4c942b1-cf66-11ee-b93c-e00af6801390","8098.82","2022-10-11"
"e4c9b7cb-cf66-11ee-86b5-e00af6801390","-6434.59","2023-10-08"
"e4ca53f9-cf66-11ee-ab8c-e00af6801390","986.5","2023-07-04"
"e4c94296-cf66-11ee-b405-e00af6801390","2442.98","2023-03-24"
"e4ca53de-cf66-11ee-95fa-e00af6801390","-493.48","2022-06-20"
"e4c94292-cf66-11ee-95f6-e00af6801390","2961.77","2023-04-06"
"e4caf026-cf66-11ee-97f5-e00af6801390","-6782.36","2022-08-25"
"e4c94291-cf66-11ee-a6f6-e00af6801390","2032.27","2023-11-16"
"e4c94291-cf66-11ee-a6f6-e00af6801390","283.88","2023-03-11"
"e4c9dec3-cf66-11ee-9c6f-e00af6801390","-7950.66","2023-12-10"
"e4c8f001-cf66-11ee-9b8d-e00af6801390","2267.50","2022-07-27"
"e4c91b78-cf66-11ee-b016-e00af6801390","-7456.63","2023-07-11"
"e4caa23b-cf66-11ee-8e51-e00af6801390","9723.22","2022-09-16"
"e4ca05c2-cf66-11ee-84ff-e00af6801390","4207.45","2023-05-22"
"e4ca541a-cf66-11ee-b206-e00af6801390","-3333.99","2022-04-28"
"e4c9427e-cf66-11ee-9a07-e00af6801390","5661.33","2022-10-04"
"e4caf042-cf66-11ee-9391-e00af6801390","8429.54","2022-04-16"
"e4c942a8-cf66-11ee-98b2-e00af6801390","-2742.77","2022-10-07"
"e4c9427e-cf66-11ee-9a07-e00af6801390","9947.7","2022-11-12"
"e4c91b74-cf66-11ee-abf3-e00af6801390","-3855.29","2023-08-08"
"e4caf016-cf66-11ee-a2ed-e00af6801390","8090.12","2023-07-12"
"e4c8c6c0-cf66-11ee-a0be-e00af6801390","-9458.47","2024-01-21"
"e4ca2d06-cf66-11ee-b168-e00af6801390","-2456.89","2023-12-21"
"e4ca05e0-cf66-11ee-a77d-e00af6801390","8595.2","2023-08-10"
"e4cac92e-cf66-11ee-bc8d-e00af6801390","9535.19","2022-08-17"
"e4cac908-cf66-11ee-947d-e00af6801390","-9132.66","2023-05-06"
"e4c969a8-cf66-11ee-9b58-e00af6801390","3899.22","2023-11-04"
"e4c9deb6-cf66-11ee-a4a3-e00af6801390","-3018.62","2023-11-22"
"e4c91b62-cf66-11ee-8eba-e00af6801390","-6225.49","2022-05-27"
"e4ca2cd0-cf66-11ee-ae52-e00af6801390","5423.16","2023-09-23"
"e4caa227-cf66-11ee-abd5-e00af6801390","-6620.14","2022-08-18"
"e4c8c6bc-cf66-11ee-9030-e00af6801390","5202.93","2023-10-10"
"e4ca2cfb-cf66-11ee-810c-e00af6801390","6758.9","2022-11-04"
"e4c9b7d3-cf66-11ee-8b7f-e00af6801390","565.2","2022-04-30"
"e4ca7b0c-cf66-11ee-9e74-e00af6801390","3286.26","2022-10-23"
"e4c9dece-cf66-11ee-988f-e00af6801390","9812.55","2022-06-24"
"e4c9429d-cf66-11ee-9876-e00af6801390","-6639.28","2022-12-07"
"e4caa234-cf66-11ee-aa24-e00af6801390","5983.90","2024-01-29"
"e4caa228-cf66-11ee-9f3f-e00af6801390","9387.40","2023-02-23"
"e4c8f445-cf66-11ee-b82f-e00af6801390","9729.42","2024-02-01"
"e4c9ded8-cf66-11ee-9e28-e00af6801390","-8204.87","2022-06-26"
"e4c94288-cf66-11ee-bfd4-e00af6801390","1218.43","2023-01-04"
"e4c8c6b8-cf66-11ee-972b-e00af6801390","5080.29","2022-04-21"
"e4cac948-cf66-11ee-b3d6-e00af6801390","3693.36","2023-01-03"
"e4c990ae-cf66-11ee-be90-e00af6801390","4524.77","2022-03-30"
"e4c942b1-cf66-11ee-b93c-e00af6801390","-574.38","2023-02-28"
"e4c9b7b6-cf66-11ee-b5a5-e00af6801390","7431.31","2022-06-02"
"e4c9427a-cf66-11ee-9155-e00af6801390","-2394.52","2023-09-21"
"e4c9b7d4-cf66-11ee-801b-e00af6801390","3370.29","2022-05-11"
"e4ca05b9-cf66-11ee-98f2-e00af6801390","-439.58","2022-10-29"
"e4cac906-cf66-11ee-a9f6-e00af6801390","-7272.61","2023-04-09"
"e4c91b71-cf66-11ee-8b2e-e00af6801390","3521.91","2023-07-06"
"e4c990cf-cf66-11ee-b8ed-e00af6801390","6136.56","2022-11-21"
"e4c9deb8-cf66-11ee-a982-e00af6801390","-4535.60","2023-07-07"
"e4c94295-cf66-11ee-8dac-e00af6801390","5376.92","2023-12-21"
"e4c8f47c-cf66-11ee-8d4c-e00af6801390","-2205.58","2022-08-20"
"e4c9dee4-cf66-11ee-b683-e00af6801390","9957.25","2022-10-15"
"e4c990ba-cf66-11ee-9cbe-e00af6801390","-5602.76","2023-11-16"
"e4c9dee5-cf66-11ee-bd17-e00af6801390","77.16","2023-10-04"
"e4caa21b-cf66-11ee-9218-e00af6801390","-9852.19","2023-09-13"
"e4caa20a-cf66-11ee-9599-e00af6801390","-718.73","2023-07-12"
"e4ca540b-cf66-11ee-821e-e00af6801390","-511.28","2024-01-02"
"e4ca5403-cf66-11ee-815f-e00af6801390","7286.92","2023-02-10"
"e4ca7b00-cf66-11ee-bf84-e00af6801390","6051.14","2022-04-17"
"e4ca53d8-cf66-11ee-9d89-e00af6801390","-2438.9","2022-04-22"
"e4cac93c-cf66-11ee-b9fc-e00af6801390","6927.80","2023-07-26"
"e4caa1f9-cf66-11ee-b54b-e00af6801390","-1823.14","2023-01-12"
"e4caf017-cf66-11ee-9909-e00af6801390","5212.94","2024-02-12"
"e4caf02c-cf66-11ee-ad19-e00af6801390","-2915.84","2022-07-02"
"e4ca7b1d-cf66-11ee-bb74-e00af6801390","7835.90","2022-09-13"
"e4c990d1-cf66-11ee-a280-e00af6801390","-9201.17","2023-07-01"
"e4c9debb-cf66-11ee-b5de-e00af6801390","-8387.27","2022-06-21"
"e4c9b7ca-cf66-11ee-8571-e00af6801390","-9067.35","2023-06-14"
"e4ca5414-cf66-11ee-94cb-e00af6801390","892.1","2022-05-19"
"e4c9dec2-cf66-11ee-9e64-e00af6801390","-2063.7","2023-08-23"
"e4ca2cf0-cf66-11ee-801f-e00af6801390","-9108.2","2022-11-24"
"e4c9decb-cf66-11ee-bc21-e00af6801390","-3324.86","2023-01-23"
"e4ca540f-cf66-11ee-ad79-e00af6801390","-4750.4","2023-09-22"
"e4ca2cdb-cf66-11ee-8bed-e00af6801390","274.55","2022-03-13"
"e4c94299-cf66-11ee-afb2-e00af6801390","3176.35","2022-03-05"
"e4ca7b11-cf66-11ee-afd9-e00af6801390","-1172.91","2022-07-21"
"e4c9b7c6-cf66-11ee-b0f3-e00af6801390","9431.57","2022-11-14"
"e4c91b81-cf66-11ee-90ff-e00af6801390","-2256.53","2024-02-08"
"e4ca5411-cf66-11ee-99c3-e00af6801390","6884.36","2023-12-27"
"e4c94286-cf66-11ee-a780-e00af6801390","-8660.85","2022-07-31"
"e4cac926-cf66-11ee-a82a-e00af6801390","-8471.2","2023-11-03"
"e4c990a1-cf66-11ee-85b0-e00af6801390","4370.8","2023-06-12"
"e4c9909b-cf66-11ee-8f2c-e00af6801390","-5850.25","2024-01-22"
"e4c990cd-cf66-11ee-9437-e00af6801390","-1517.4","2022-06-16"
"e4c8f45a-cf66-11ee-be9d-e00af6801390","-1975.58","2024-01-20"
"e4c8c6be-cf66-11ee-8407-e00af6801390","9363.13","2023-09-21"
"e4ca2cf5-cf66-11ee-95ea-e00af6801390","-5127.4","2022-12-05"
"e4ca05e0-cf66-11ee-a77d-e00af6801390","-1880.44","2023-07-15"
"e4ca7b10-cf66-11ee-91e0-e00af6801390","-8861.3","2022-08-04"
"e4c8f478-cf66-11ee-9227-e00af6801390","-5444.79","2023-10-24"
"e4caa1f7-cf66-11ee-bb17-e00af6801390","6626.81","2022-10-05"
"e4c8f476-cf66-11ee-be5e-e00af6801390","3079.58","2022-06-08"
"e4c990b2-cf66-11ee-a7a5-e00af6801390","-5280.23","2023-08-28"
"e4cac94d-cf66-11ee-a1f6-e00af6801390","-2771.94","2024-02-11"
"e4ca7aeb-cf66-11ee-a83d-e00af6801390","-9966.92","2022-07-26"
"e4c990ca-cf66-11ee-90c6-e00af6801390","-7642.14","2023-02-03"
"e4c8f472-cf66-11ee-8ec4-e00af6801390","-4468.96","2023-12-31"
"e4c96988-cf66-11ee-805d-e00af6801390","1407.76","2022-12-19"
"e4ca05f9-cf66-11ee-b151-e00af6801390","7247.90","2023-12-03"
